,5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
0,04/01/2016 0:00,12,1,100
1,04/01/2016 0:05,13,1,100
2,04/01/2016 0:10,11,1,100
3,04/01/2016 0:15,13,1,100
4,04/01/2016 0:20,10,1,100
5,04/01/2016 0:25,10,1,100
6,04/01/2016 0:30,13,1,100
7,04/01/2016 0:35,11,1,100
8,04/01/2016 0:40,10,1,100
9,04/01/2016 0:45,6,1,100
10,04/01/2016 0:50,7,1,100
11,04/01/2016 0:55,8,1,100
12,04/01/2016 1:00,8,1,100
13,04/01/2016 1:05,12,1,100
14,04/01/2016 1:10,7,1,100
15,04/01/2016 1:15,5,1,100
16,04/01/2016 1:20,2,1,100
17,04/01/2016 1:25,6,1,100
18,04/01/2016 1:30,4,1,100
19,04/01/2016 1:35,3,1,100
20,04/01/2016 1:40,5,1,100
21,04/01/2016 1:45,6,1,100
22,04/01/2016 1:50,5,1,100
23,04/01/2016 1:55,6,1,100
24,04/01/2016 2:00,7,1,100
25,04/01/2016 2:05,7,1,100
26,04/01/2016 2:10,7,1,100
27,04/01/2016 2:15,3,1,100
28,04/01/2016 2:20,8,1,100
29,04/01/2016 2:25,5,1,100
30,04/01/2016 2:30,6,1,100
31,04/01/2016 2:35,4,1,100
32,04/01/2016 2:40,5,1,100
33,04/01/2016 2:45,7,1,100
34,04/01/2016 2:50,2,1,100
35,04/01/2016 2:55,9,1,100
36,04/01/2016 3:00,10,1,100
37,04/01/2016 3:05,7,1,100
38,04/01/2016 3:10,4,1,100
39,04/01/2016 3:15,6,1,100
40,04/01/2016 3:20,6,1,100
41,04/01/2016 3:25,4,1,100
42,04/01/2016 3:30,6,1,100
43,04/01/2016 3:35,15,1,100
44,04/01/2016 3:40,8,1,100
45,04/01/2016 3:45,9,1,100
46,04/01/2016 3:50,17,1,100
47,04/01/2016 3:55,16,1,100
48,04/01/2016 4:00,11,1,100
49,04/01/2016 4:05,15,1,100
50,04/01/2016 4:10,19,1,100
51,04/01/2016 4:15,15,1,100
52,04/01/2016 4:20,20,1,100
53,04/01/2016 4:25,26,1,100
54,04/01/2016 4:30,24,1,100
55,04/01/2016 4:35,27,1,100
56,04/01/2016 4:40,40,1,100
57,04/01/2016 4:45,50,1,100
58,04/01/2016 4:50,52,1,100
59,04/01/2016 4:55,51,1,100
60,04/01/2016 5:00,47,1,100
61,04/01/2016 5:05,51,1,100
62,04/01/2016 5:10,67,1,100
63,04/01/2016 5:15,72,1,100
64,04/01/2016 5:20,63,1,100
65,04/01/2016 5:25,68,1,100
66,04/01/2016 5:30,93,1,100
67,04/01/2016 5:35,93,1,100
68,04/01/2016 5:40,98,1,100
69,04/01/2016 5:45,95,1,100
70,04/01/2016 5:50,92,1,100
71,04/01/2016 5:55,98,1,100
72,04/01/2016 6:00,114,1,100
73,04/01/2016 6:05,98,1,100
74,04/01/2016 6:10,129,1,100
75,04/01/2016 6:15,125,1,100
76,04/01/2016 6:20,141,1,100
77,04/01/2016 6:25,123,1,100
78,04/01/2016 6:30,146,1,100
79,04/01/2016 6:35,139,1,100
80,04/01/2016 6:40,146,1,100
81,04/01/2016 6:45,146,1,100
82,04/01/2016 6:50,134,1,100
83,04/01/2016 6:55,134,1,100
84,04/01/2016 7:00,147,1,100
85,04/01/2016 7:05,138,1,100
86,04/01/2016 7:10,144,1,100
87,04/01/2016 7:15,131,1,100
88,04/01/2016 7:20,118,1,100
89,04/01/2016 7:25,104,1,100
90,04/01/2016 7:30,110,1,100
91,04/01/2016 7:35,98,1,100
92,04/01/2016 7:40,83,1,100
93,04/01/2016 7:45,79,1,100
94,04/01/2016 7:50,77,1,100
95,04/01/2016 7:55,77,1,100
96,04/01/2016 8:00,87,1,100
97,04/01/2016 8:05,91,1,100
98,04/01/2016 8:10,92,1,100
99,04/01/2016 8:15,79,1,100
100,04/01/2016 8:20,86,1,100
101,04/01/2016 8:25,93,1,100
102,04/01/2016 8:30,94,1,100
103,04/01/2016 8:35,101,1,100
104,04/01/2016 8:40,90,1,100
105,04/01/2016 8:45,83,1,100
106,04/01/2016 8:50,80,1,100
107,04/01/2016 8:55,85,1,100
108,04/01/2016 9:00,86,1,100
109,04/01/2016 9:05,79,1,100
110,04/01/2016 9:10,87,1,100
111,04/01/2016 9:15,104,1,100
112,04/01/2016 9:20,94,1,100
113,04/01/2016 9:25,136,1,100
114,04/01/2016 9:30,126,1,100
115,04/01/2016 9:35,123,1,100
116,04/01/2016 9:40,112,1,100
117,04/01/2016 9:45,104,1,100
118,04/01/2016 9:50,94,1,100
119,04/01/2016 9:55,118,1,100
120,04/01/2016 10:00,87,1,100
121,04/01/2016 10:05,101,1,100
122,04/01/2016 10:10,104,1,100
123,04/01/2016 10:15,97,1,100
124,04/01/2016 10:20,103,1,100
125,04/01/2016 10:25,87,1,100
126,04/01/2016 10:30,102,1,100
127,04/01/2016 10:35,99,1,100
128,04/01/2016 10:40,94,1,100
129,04/01/2016 10:45,86,1,100
130,04/01/2016 10:50,96,1,100
131,04/01/2016 10:55,88,1,100
132,04/01/2016 11:00,83,1,100
133,04/01/2016 11:05,87,1,100
134,04/01/2016 11:10,94,1,100
135,04/01/2016 11:15,94,1,100
136,04/01/2016 11:20,86,1,100
137,04/01/2016 11:25,112,1,100
138,04/01/2016 11:30,102,1,100
139,04/01/2016 11:35,70,1,100
140,04/01/2016 11:40,97,1,100
141,04/01/2016 11:45,80,1,100
142,04/01/2016 11:50,80,1,100
143,04/01/2016 11:55,89,1,100
144,04/01/2016 12:00,93,1,100
145,04/01/2016 12:05,81,1,100
146,04/01/2016 12:10,88,1,100
147,04/01/2016 12:15,81,1,100
148,04/01/2016 12:20,92,1,100
149,04/01/2016 12:25,87,1,100
150,04/01/2016 12:30,83,1,100
151,04/01/2016 12:35,98,1,100
152,04/01/2016 12:40,98,1,100
153,04/01/2016 12:45,89,1,100
154,04/01/2016 12:50,93,1,100
155,04/01/2016 12:55,85,1,100
156,04/01/2016 13:00,99,1,100
157,04/01/2016 13:05,67,1,100
158,04/01/2016 13:10,89,1,100
159,04/01/2016 13:15,63,1,100
160,04/01/2016 13:20,88,1,100
161,04/01/2016 13:25,89,1,100
162,04/01/2016 13:30,80,1,100
163,04/01/2016 13:35,79,1,100
164,04/01/2016 13:40,98,1,100
165,04/01/2016 13:45,102,1,100
166,04/01/2016 13:50,83,1,100
167,04/01/2016 13:55,88,1,100
168,04/01/2016 14:00,102,1,100
169,04/01/2016 14:05,93,1,100
170,04/01/2016 14:10,78,1,100
171,04/01/2016 14:15,87,1,100
172,04/01/2016 14:20,93,1,100
173,04/01/2016 14:25,80,1,100
174,04/01/2016 14:30,67,1,100
175,04/01/2016 14:35,86,1,100
176,04/01/2016 14:40,107,1,100
177,04/01/2016 14:45,100,1,100
178,04/01/2016 14:50,76,1,100
179,04/01/2016 14:55,104,1,100
180,04/01/2016 15:00,95,1,100
181,04/01/2016 15:05,82,1,100
182,04/01/2016 15:10,88,1,100
183,04/01/2016 15:15,90,1,100
184,04/01/2016 15:20,100,1,100
185,04/01/2016 15:25,92,1,100
186,04/01/2016 15:30,99,1,100
187,04/01/2016 15:35,102,1,100
188,04/01/2016 15:40,98,1,100
189,04/01/2016 15:45,86,1,100
190,04/01/2016 15:50,99,1,100
191,04/01/2016 15:55,85,1,100
192,04/01/2016 16:00,102,1,100
193,04/01/2016 16:05,72,1,100
194,04/01/2016 16:10,105,1,100
195,04/01/2016 16:15,97,1,100
196,04/01/2016 16:20,91,1,100
197,04/01/2016 16:25,80,1,100
198,04/01/2016 16:30,83,1,100
199,04/01/2016 16:35,77,1,100
200,04/01/2016 16:40,100,1,100
201,04/01/2016 16:45,82,1,100
202,04/01/2016 16:50,93,1,100
203,04/01/2016 16:55,78,1,100
204,04/01/2016 17:00,87,1,100
205,04/01/2016 17:05,85,1,100
206,04/01/2016 17:10,79,1,100
207,04/01/2016 17:15,105,1,100
208,04/01/2016 17:20,103,1,100
209,04/01/2016 17:25,90,1,100
210,04/01/2016 17:30,82,1,100
211,04/01/2016 17:35,100,1,100
212,04/01/2016 17:40,92,1,100
213,04/01/2016 17:45,80,1,100
214,04/01/2016 17:50,83,1,100
215,04/01/2016 17:55,77,1,100
216,04/01/2016 18:00,73,1,100
217,04/01/2016 18:05,67,1,100
218,04/01/2016 18:10,76,1,100
219,04/01/2016 18:15,76,1,100
220,04/01/2016 18:20,68,1,100
221,04/01/2016 18:25,72,1,100
222,04/01/2016 18:30,72,1,100
223,04/01/2016 18:35,60,1,100
224,04/01/2016 18:40,69,1,100
225,04/01/2016 18:45,75,1,100
226,04/01/2016 18:50,60,1,100
227,04/01/2016 18:55,61,1,100
228,04/01/2016 19:00,69,1,100
229,04/01/2016 19:05,58,1,100
230,04/01/2016 19:10,63,1,100
231,04/01/2016 19:15,71,1,100
232,04/01/2016 19:20,64,1,100
233,04/01/2016 19:25,58,1,100
234,04/01/2016 19:30,53,1,100
235,04/01/2016 19:35,59,1,100
236,04/01/2016 19:40,69,1,100
237,04/01/2016 19:45,54,1,100
238,04/01/2016 19:50,60,1,100
239,04/01/2016 19:55,51,1,100
240,04/01/2016 20:00,40,1,100
241,04/01/2016 20:05,58,1,100
242,04/01/2016 20:10,48,1,100
243,04/01/2016 20:15,41,1,100
244,04/01/2016 20:20,50,1,100
245,04/01/2016 20:25,47,1,100
246,04/01/2016 20:30,43,1,100
247,04/01/2016 20:35,42,1,100
248,04/01/2016 20:40,42,1,100
249,04/01/2016 20:45,54,1,100
250,04/01/2016 20:50,38,1,100
251,04/01/2016 20:55,42,1,100
252,04/01/2016 21:00,41,1,100
253,04/01/2016 21:05,49,1,100
254,04/01/2016 21:10,46,1,100
255,04/01/2016 21:15,34,1,100
256,04/01/2016 21:20,38,1,100
257,04/01/2016 21:25,41,1,100
258,04/01/2016 21:30,41,1,100
259,04/01/2016 21:35,48,1,100
260,04/01/2016 21:40,30,1,100
261,04/01/2016 21:45,33,1,100
262,04/01/2016 21:50,40,1,100
263,04/01/2016 21:55,24,1,100
264,04/01/2016 22:00,34,1,100
265,04/01/2016 22:05,24,1,100
266,04/01/2016 22:10,33,1,100
267,04/01/2016 22:15,32,1,100
268,04/01/2016 22:20,23,1,100
269,04/01/2016 22:25,24,1,100
270,04/01/2016 22:30,24,1,100
271,04/01/2016 22:35,26,1,100
272,04/01/2016 22:40,19,1,100
273,04/01/2016 22:45,16,1,100
274,04/01/2016 22:50,14,1,100
275,04/01/2016 22:55,21,1,100
276,04/01/2016 23:00,16,1,100
277,04/01/2016 23:05,11,1,100
278,04/01/2016 23:10,19,1,100
279,04/01/2016 23:15,22,1,100
280,04/01/2016 23:20,16,1,100
281,04/01/2016 23:25,16,1,100
282,04/01/2016 23:30,17,1,100
283,04/01/2016 23:35,23,1,100
284,04/01/2016 23:40,10,1,100
285,04/01/2016 23:45,20,1,100
286,04/01/2016 23:50,20,1,100
287,04/01/2016 23:55,11,1,100
288,05/01/2016 0:00,12,1,100
289,05/01/2016 0:05,14,1,100
290,05/01/2016 0:10,9,1,100
291,05/01/2016 0:15,6,1,100
292,05/01/2016 0:20,9,1,100
293,05/01/2016 0:25,9,1,100
294,05/01/2016 0:30,12,1,100
295,05/01/2016 0:35,10,1,100
296,05/01/2016 0:40,6,1,100
297,05/01/2016 0:45,6,1,100
298,05/01/2016 0:50,12,1,100
299,05/01/2016 0:55,2,1,100
300,05/01/2016 1:00,11,1,100
301,05/01/2016 1:05,5,1,100
302,05/01/2016 1:10,9,1,100
303,05/01/2016 1:15,8,1,100
304,05/01/2016 1:20,8,1,100
305,05/01/2016 1:25,2,1,100
306,05/01/2016 1:30,9,1,100
307,05/01/2016 1:35,7,1,100
308,05/01/2016 1:40,1,1,100
309,05/01/2016 1:45,5,1,100
310,05/01/2016 1:50,5,1,100
311,05/01/2016 1:55,8,1,100
312,05/01/2016 2:00,3,1,100
313,05/01/2016 2:05,4,1,100
314,05/01/2016 2:10,5,1,100
315,05/01/2016 2:15,3,1,100
316,05/01/2016 2:20,6,1,100
317,05/01/2016 2:25,7,1,100
318,05/01/2016 2:30,3,1,100
319,05/01/2016 2:35,8,1,100
320,05/01/2016 2:40,3,1,100
321,05/01/2016 2:45,3,1,100
322,05/01/2016 2:50,3,1,100
323,05/01/2016 2:55,2,1,100
324,05/01/2016 3:00,4,1,100
325,05/01/2016 3:05,2,1,100
326,05/01/2016 3:10,4,1,100
327,05/01/2016 3:15,7,1,100
328,05/01/2016 3:20,8,1,100
329,05/01/2016 3:25,6,1,100
330,05/01/2016 3:30,6,1,100
331,05/01/2016 3:35,8,1,100
332,05/01/2016 3:40,8,1,100
333,05/01/2016 3:45,12,1,100
334,05/01/2016 3:50,6,1,100
335,05/01/2016 3:55,7,1,100
336,05/01/2016 4:00,12,1,100
337,05/01/2016 4:05,11,1,100
338,05/01/2016 4:10,10,1,100
339,05/01/2016 4:15,19,1,100
340,05/01/2016 4:20,17,1,100
341,05/01/2016 4:25,16,1,100
342,05/01/2016 4:30,18,1,100
343,05/01/2016 4:35,24,1,100
344,05/01/2016 4:40,33,1,100
345,05/01/2016 4:45,45,1,100
346,05/01/2016 4:50,44,1,100
347,05/01/2016 4:55,40,1,100
348,05/01/2016 5:00,53,1,100
349,05/01/2016 5:05,44,1,100
350,05/01/2016 5:10,54,1,100
351,05/01/2016 5:15,67,1,100
352,05/01/2016 5:20,60,1,100
353,05/01/2016 5:25,69,1,100
354,05/01/2016 5:30,75,1,100
355,05/01/2016 5:35,73,1,100
356,05/01/2016 5:40,106,1,100
357,05/01/2016 5:45,101,1,100
358,05/01/2016 5:50,94,1,100
359,05/01/2016 5:55,90,1,100
360,05/01/2016 6:00,108,1,100
361,05/01/2016 6:05,106,1,100
362,05/01/2016 6:10,120,1,100
363,05/01/2016 6:15,126,1,100
364,05/01/2016 6:20,127,1,100
365,05/01/2016 6:25,163,1,100
366,05/01/2016 6:30,128,1,100
367,05/01/2016 6:35,154,1,100
368,05/01/2016 6:40,157,1,100
369,05/01/2016 6:45,171,1,100
370,05/01/2016 6:50,152,1,100
371,05/01/2016 6:55,150,1,100
372,05/01/2016 7:00,148,1,100
373,05/01/2016 7:05,147,1,100
374,05/01/2016 7:10,148,1,100
375,05/01/2016 7:15,136,1,100
376,05/01/2016 7:20,136,1,100
377,05/01/2016 7:25,96,1,100
378,05/01/2016 7:30,114,1,100
379,05/01/2016 7:35,103,1,100
380,05/01/2016 7:40,77,1,100
381,05/01/2016 7:45,82,1,100
