LOCAL ID,COUNTY,MUNICIPALITY,ON,FROM,TO,APPROACH,DIRECTION,AADT YEAR,AADT,AADT CARS,AADT TRUCKS,LOCATION
536054,Erie,Amherst,I-290 @ I-990,,,,RAMP,2012,14467,,,"(42.9979698355648, -78.8096845149994)"
537024,Erie,Collins,ERIE AVE,PARK ST,VILL LN,,2-WAY,2011,250,,,"(42.463522, -78.931352)"
534468,Erie,Elma,JAMISON RD,SCHULTZ RD,GIRDLE RD,,2-WAY,1990,4600,,,"(42.805089, -78.611787)"
544219,Niagara,Lockport,STONE RD,NY 104,SUNSET DR,,2-WAY,2008,2200,,,"(43.2122137004757, -78.7405291199684)"
533027,Erie,Cheektowaga,I-90 @ Exit 53 I-190,,,,RAMP,2013,25439,,,"(42.8745174046036, -78.7902277708054)"
535117,Erie,Cheektowaga,St. Lucia Ln,Zoerb Ave,S Creek Dr,,2-WAY,2014,133,,,"(42.911853, -78.739647)"
530190,Erie,Hamburg,SOUTH PARK AVE,N VILL LN,RT 20 SOUTHWESTERN BLVD,BETWEEN,2-WAY,1990,12500,,,"(42.730795, -78.825558)"
534193,Erie,Clarence,COUNTY RD,CONNER RD,HEISE RD,,2-WAY,1979,2900,,,"(43.0326273650754, -78.6580967903137)"
530051,Erie,West Seneca,SENECA ST(RT 16),RT 400 EXPWY,RT 240 HARLEM RD,BETWEEN,2-WAY,2014,16100,,,"(42.8424258070311, -78.7885594367981)"
534959,Erie,Amherst,N FOREST RD,RT 5 MAIN ST,RT 277 UNION RD,,2-WAY,2004,8000,,,"(42.9652434412989, -78.7593346736107)"
544079,Niagara,Lockport,HIGH ST,STATE ST,RT 78 TRANSIT RD,,2-WAY,1998,1400,,,"(43.1647401613135, -78.6983755230904)"
547058,Niagara,Lewiston,HOOVER RD,RAYMOND RD,NIAGARA ST,,2-WAY,2017,3718,3290,427,"(43.1365166996443, -78.8847238134918)"
536480,Erie,Orchard Park,POWERS RD,MURPHY RD,RT 277 CHESTNUT RIDGE RD,,2-WAY,1998,2400,,,"(42.733451, -78.757124)"
540931,Niagara,Wheatfield,WILLIAMS RD,CAYUGA DR EXT,RT 62 NF BLVD,BETWEEN,2-WAY,1999,7600,,,"(43.095614, -78.940891)"
540107,Niagara,Lewiston,SAUNDERS SETTLEMENT RD,RT 265 MILITARY RD,WALMORE RD,,2-WAY,1990,9200,,,"(43.1402815478637, -78.970448076725)"
536468,Erie,Lancaster,AURORA ST,LANCASTER/ELMA TN LN,WILLIAM ST,BETWEEN,2-WAY,1998,6800,,,"(42.8716415989328, -78.6764135956764)"
530073,Erie,Cheektowaga,UNION RD,WILLIAM ST,BENNETT RD,BETWEEN,2-WAY,1981,43500,,,"(42.887033, -78.754635)"
